term,normalized,variants,reading,category,domain,priority,protect,source,approved,enabled,registered_at,last_seen_at,note,approval_count
蛤,拾,,,数字,,0.6,false,user-manual,false,true,2026-05-24T15:18:32.615627+00:00,2026-05-24T15:18:32.615627+00:00,,
隼,準,,,単語,,0.6,false,user-manual,false,true,2026-05-24T15:32:32.740666+00:00,2026-05-24T15:32:32.740666+00:00,,
原真,原告,,,法制語,,0.6,false,user-manual,false,true,2026-05-24T15:33:19.209302+00:00,2026-05-24T15:33:19.209302+00:00,,
対事,判事,,,法制語,,0.6,false,user-manual,false,true,2026-05-26T12:52:54.528369+00:00,2026-05-26T12:52:54.528369+00:00,,
寛,第,,,単漢字,,0.6,false,user-manual,false,true,2026-05-26T12:54:04.782314+00:00,2026-05-26T12:54:04.782314+00:00,,
歳渡書,言渡書,,,法制語,,0.6,false,user-manual,false,true,2026-05-26T12:54:29.179035+00:00,2026-05-26T12:54:29.179035+00:00,,
巻,壱,,,漢数字,,0.6,false,user-manual,false,true,2026-05-26T12:55:17.664642+00:00,2026-05-26T12:55:17.664642+00:00,,
還,遂,,,単漢字,,0.6,false,user-manual,false,true,2026-05-28T15:20:23.136249+00:00,2026-05-28T15:20:23.136249+00:00,,
許ハ,訴ル,,,動詞,,0.6,false,user-manual,false,true,2026-05-28T15:21:20.314059+00:00,2026-05-28T15:21:20.314059+00:00,,
吉,古,,,単漢字,,0.6,false,user-manual,false,true,2026-05-28T15:24:32.562225+00:00,2026-05-28T15:24:32.562225+00:00,,
村又,村民,,,村落,,0.6,false,user-manual,false,true,2026-05-28T15:26:44.381812+00:00,2026-06-09T11:23:19.844734+00:00,,
リ,ヲ,,,助詞,,0.6,false,user-manual,false,true,2026-05-28T15:27:17.708221+00:00,2026-05-28T15:27:17.708221+00:00,,
ク,タ,,,カタカナ,,0.6,false,user-manual,false,true,2026-05-29T04:15:43.878402+00:00,2026-05-29T04:15:43.878402+00:00,,
一古,右,,,単漢字,,0.6,false,user-manual,false,true,2026-05-29T04:34:54.135616+00:00,2026-05-29T04:34:54.135616+00:00,,
価,償,,,単漢字,,0.6,false,user-manual,false,true,2026-05-29T04:43:00.554160+00:00,2026-05-29T04:43:00.554160+00:00,,
地樋,圦樋,,,用水,,0.6,false,user-manual,false,true,2026-05-29T05:52:59.824780+00:00,2026-05-29T05:52:59.824780+00:00,,
小崩,小前,,,村落,,0.6,false,user-manual,false,true,2026-05-29T05:54:04.046728+00:00,2026-05-29T05:54:04.046728+00:00,,
口,ロ,,,カタカナ,,0.6,false,user-manual,false,true,2026-05-29T09:28:25.380775+00:00,2026-05-29T09:28:25.380775+00:00,,
爰,小前,,,村落,,0.6,false,user-manual,false,true,2026-05-31T14:32:51.962994+00:00,2026-05-31T14:32:51.962994+00:00,,
トク,ゟ,,,助詞,,0.6,false,user-manual,false,true,2026-05-31T14:33:48.112880+00:00,2026-06-09T11:22:57.141423+00:00,,
三井,兼,,,単漢字,,0.6,false,user-manual,false,true,2026-05-31T14:35:21.813586+00:00,2026-05-31T14:35:21.813586+00:00,,
原去,原告,,,法制語,,0.6,false,user-manual,false,true,2026-05-31T15:35:36.593171+00:00,2026-05-31T15:35:36.593171+00:00,,
